               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               0.111,             0.04424,            0.055702,             0.81843,           0.0070228,          0.00010086,           2.084e-05,             0.10211,            0.045018,            0.043042,             0.00119,             0.00119,             0.08929
                   1,             0.10703,            0.045448,            0.038694,          0.00019616,            0.008948,          8.5547e-05,          1.7685e-05,             0.14023,             0.02141,            0.083687,           0.0023895,           0.0023895,            0.078489
                   2,             0.10451,            0.046779,            0.032775,          0.00028422,            0.004567,          0.00012556,          2.8561e-05,             0.12346,            0.031007,             0.03909,           0.0035868,           0.0035868,            0.067687
                   3,             0.10324,            0.045877,            0.029501,             0.36819,             0.01664,           0.0014941,          0.00025191,            0.099064,            0.041175,            0.026852,           0.0047804,           0.0047804,             0.05688
                   4,            0.096475,            0.042755,            0.025835,             0.64948,            0.012925,           0.0054198,           0.0012839,            0.093007,            0.048245,            0.023652,           0.0059687,           0.0059687,            0.046069
                   5,            0.089334,            0.040618,            0.024146,             0.93553,            0.020465,            0.016029,           0.0042251,            0.083446,            0.040271,            0.022137,           0.0071502,           0.0071502,             0.03525
                   6,            0.084468,            0.039446,            0.022655,              0.9353,            0.020681,            0.014826,           0.0033003,            0.083627,            0.037679,            0.020536,           0.0083231,           0.0083231,            0.024423
                   7,            0.081919,            0.037812,            0.022155,             0.92466,             0.03013,            0.025028,           0.0069052,            0.076621,             0.03768,            0.020897,           0.0094861,           0.0094861,            0.013586
                   8,            0.077227,            0.038347,            0.020741,             0.32749,             0.13227,            0.042103,            0.012266,            0.071295,            0.034977,            0.018863,           0.0098586,           0.0098586,           0.0098586
                   9,            0.071982,            0.036415,            0.019077,             0.42102,             0.15866,            0.059279,              0.0221,            0.063654,            0.033759,            0.016931,           0.0098586,           0.0098586,           0.0098586
                  10,            0.069384,            0.037081,            0.018047,             0.52458,             0.12099,            0.066316,            0.022833,            0.064344,            0.033572,            0.017525,           0.0098213,           0.0098213,           0.0098213
                  11,            0.066707,            0.035473,             0.01708,              0.4557,             0.12268,            0.078634,            0.028226,            0.062209,            0.032114,            0.014844,           0.0097798,           0.0097798,           0.0097798
                  12,            0.065259,            0.034826,            0.016534,             0.44753,             0.16416,            0.089197,            0.030584,            0.060711,            0.031062,            0.013978,            0.009734,            0.009734,            0.009734
